title	year	length	budget	rating	votes	mpaa	genre	status
Surviving Picasso	1996	125	16	6.1	1139	R	Romance Drama	yes
Switchback	1997	118	38	6.1	2195	R	Action	yes
Tailor of Panama, The	2001	109	18	6.1	5997	R	Comedy Drama	yes
There Goes My Baby	1994	110	10.5	6.1	253	R	Comedy Drama	yes
U.S. Marshals	1998	131	60	6.1	10315	PG-13	Action Drama	yes
Vanity Fair	2004	141	23	6.1	2151	PG-13	Romance Drama	yes
We Don't Live Here Anymore	2004	101	3	6.1	1387	R	Drama	yes
Welcome to Collinwood	2002	86	12	6.1	2831	R	Comedy	yes
Zoolander	2001	89	28	6.1	18277	PG-13	Comedy	yes
28 Days	2000	103	43	6	7465	PG-13	Drama	yes
After the Sunset	2004	97	58	6	3431	PG-13	Action Comedy	yes
Albino Alligator	1996	97	5	6	2077	R	Drama	yes
Alfie	2004	103	60	6	3492	R	Comedy Drama	yes
Alien: Resurrection	1997	116	70	6	24358	R	Action	yes
Anger Management	2003	106	75	6	14280	PG-13	Comedy	yes
Antitrust	2001	108	30	6	7326	PG-13	Drama	yes
Battle of Shaker Heights, The	2003	90	1	6	854	PG-13	RomCom	yes
Birth	2004	100	20	6	2600	R	Romance Drama	yes
Blood and Wine	1996	101	26	6	2134	R	Drama	yes
Bruno	2000	108	10	6	295	PG-13	Comedy Drama	yes
Brylcreem Boys, The	1998	106	6	6	199	PG-13	Romance Drama	yes
Cecil B. DeMented	2000	87	10	6	3464	R	Comedy	yes
Children On Their Birthdays	2002	102	10	6	163	PG	Drama	yes
D.E.B.S.	2004	91	3.5	6	300	PG-13	Action Comedy	yes
Detroit Rock City	1999	95	15	6	4607	R	Comedy	yes
Dog of Flanders, A	1999	100	7	6	179	PG	Drama	yes
Down and Out with the Dolls	2001	88	1.2	6	37	R	Comedy	yes
Empire	2002	90	3.5	6	1718	R	Action Drama	yes
Flight of the Phoenix	2004	113	45	6	2732	PG-13	Action	yes
Four Rooms	1995	98	4	6	10675	R	Comedy Drama	yes
Frankenstein	1994	123	45	6	6941	R	Drama	yes
Gerry	2002	105	3.5	6	1944	R	Drama	yes
Golden Bowl, The	2000	130	15	6	1145	R	Drama	yes
Groove	2000	86	0.5	6	1171	R	Drama	yes
Hard Ball	2001	109	21	6	3083	PG-13	Drama	yes
Jumanji	1995	104	65	6	14874	PG	Action Comedy	yes
King Arthur	2004	140	90	6	14272	R	Action Drama	yes
Mad City	1997	115	50	6	3965	PG-13	Drama	yes
Man in the Iron Mask, The	1998	132	35	6	11127	PG-13	Action Drama	yes
Me, Myself & Irene	2000	116	51	6	21305	R	Comedy	yes
Mexican, The	2001	123	38	6	13935	R	RomCom	yes
Object of My Affection, The	1998	111	15	6	4027	R	RomCom	yes
Ocean's Twelve	2004	125	110	6	14797	PG-13	Comedy	yes
Once Upon a Time in Mexico	2003	102	29	6	14732	R	Action	yes
Perez Family, The	1995	113	11	6	517	R	RomCom	yes
Queen's Messenger II	2001	90	4	6	27	R	Action	yes
Rainbow Thief, The	1990	87	10	6	49	R	Drama	yes
Shaft	2000	99	46	6	13742	R	Action	yes
Shall We Dance	2004	106	40	6	3479	PG-13	RomCom	yes
She's the One	1996	96	3.5	6	3779	R	RomCom	yes
Slaughter Rule, The	2002	112	0.5	6	356	R	Drama	yes
Stigmata	1999	103	32	6	14062	R	Drama	yes
Stuart Little	1999	81	103	6	8009	PG	Comedy	yes
Three to Tango	1999	98	20	6	5719	PG-13	RomCom	yes
Twist	2003	97	0.35	6	197	R	Drama	yes
Undercover Brother	2002	85	25	6	5138	PG-13	Action Comedy	yes
Varsity Blues	1999	100	16	6	7974	R	Drama	yes
Wide Awake	1998	88	7	6	655	PG	Comedy Drama	yes
6th Day, The	2000	123	82	5.9	12064	PG-13	Action	yes
Alamo, The	2004	137	95	5.9	3060	PG-13	Action Drama	yes
Anywhere But Here	1999	114	23	5.9	4007	PG-13	Drama	yes
Baptists at Our Barbecue	2004	92	0.5	5.9	62	PG	RomCom	yes
Because of Winn-Dixie	2005	106	14	5.9	483	PG	Comedy Drama	yes
Bedazzled	2000	93	48	5.9	11439	PG-13	Comedy	yes
Big Daddy	1999	93	34.2	5.9	18258	PG-13	Comedy	yes
Brown Sugar	2002	109	8	5.9	941	PG-13	RomCom	yes
Captain Corelli's Mandolin	2001	131	57	5.9	5281	R	Romance Drama	yes
Craft, The	1996	101	15	5.9	9187	R	Comedy Drama	yes
Deep End of the Ocean, The	1999	106	40	5.9	2890	PG-13	Drama	yes
Deep Impact	1998	120	75	5.9	22684	PG-13	Drama	yes
Dirty Work	1998	82	13	5.9	4252	PG-13	Comedy	yes
Double Jeopardy	1999	105	40	5.9	13587	R	Drama	yes
Guru, The	2002	94	11	5.9	3505	R	RomCom	yes
Jakob the Liar	1999	120	15	5.9	2544	PG-13	Comedy Drama	yes
Love's Labour's Lost	2000	93	13	5.9	1254	PG	RomCom	yes
Men with Brooms	2002	102	7.5	5.9	1096	R	RomCom	yes
Novocaine	2001	95	6	5.9	2829	R	Comedy Drama	yes
Overnight Delivery	1998	87	12	5.9	1229	PG-13	RomCom	yes
Peacemaker, The	1997	124	50	5.9	8994	R	Action	yes
Pushing Tin	1999	119	33	5.9	7528	R	Comedy Drama	yes
S.W.A.T.	2003	117	80	5.9	12732	PG-13	Action	yes
Shark Tale	2004	90	75	5.9	7819	PG	Animated	yes
Siege, The	1998	116	70	5.9	9725	R	Action Drama	yes
Stuart Little 2	2002	82	120	5.9	2324	PG	Comedy	yes
Texas Chainsaw Massacre, The	2003	98	9.2	5.9	9587	R	Action	yes
Twister	1996	113	92	5.9	28315	PG-13	Action Drama	yes
Walking Tall	2004	87	56	5.9	4839	PG-13	Action Drama	yes
Wild in the Streets	1968	94	1	5.9	329	R	Drama	yes
Windtalkers	2002	153	115	5.9	9081	R	Action Drama	yes
Along Came Polly	2004	90	42	5.8	9785	PG-13	RomCom	yes
America's Sweethearts	2001	102	48	5.8	11849	PG-13	RomCom	yes
Awfully Big Adventure, An	1995	112	4	5.8	608	R	Drama	yes
Beach, The	2000	119	50	5.8	15020	R	Drama	yes
Bounce	2000	106	35	5.8	5390	PG-13	Romance Drama	yes
Charlie's Angels	2000	94	92	5.8	25705	PG-13	Action Comedy	yes
Cheaper by the Dozen	2003	98	40	5.8	5977	PG	Comedy Drama	yes
Confession, The	1999	114	4	5.8	519	R	Drama	yes
Critical Care	1997	107	12	5.8	397	R	Comedy Drama	yes
Dragonfly	2002	104	60	5.8	5431	PG-13	Drama	yes
Duets	2000	112	15	5.8	2414	R	Comedy Drama	yes
Eraser	1996	115	100	5.8	14641	R	Action Drama	yes
Evolution	2001	101	80	5.8	14232	PG-13	Comedy	yes
Forgotten, The	2004	94	42	5.8	8234	PG-13	Drama	yes
Freeze Frame	2004	99	2	5.8	189	R	Drama	yes
Go Fish	1994	84	0.015	5.8	621	R	Romance Drama	yes
Harriet the Spy	1996	100	13	5.8	845	PG	Comedy Drama	yes
Impostor	2002	102	40	5.8	3292	R	Action Drama	yes
Kansas City	1996	116	19	5.8	1077	R	Drama	yes
Life	1999	108	75	5.8	4857	R	Comedy Drama	yes
Mickey Blue Eyes	1999	102	40	5.8	7247	PG-13	RomCom	yes
Mousehunt	1997	99	38	5.8	4637	PG	Action Comedy	yes
Mrs. Winterbourne	1996	105	25	5.8	1310	PG-13	RomCom	yes
Mystery Men	1999	121	68	5.8	13331	PG-13	Action Comedy	yes
Nutty Professor, The	1996	95	54	5.8	12273	PG-13	RomCom	yes
Party Monster	2003	98	5	5.8	1976	R	Drama	yes
Reign of Fire	2002	101	95	5.8	11452	PG-13	Action	yes
Replacement Killers, The	1998	87	30	5.8	6825	R	Action	yes
Rock Star	2001	105	38	5.8	5100	R	Comedy Drama	yes
Romeo Must Die	2000	115	25	5.8	10229	R	Action Drama	yes
Sahara	2005	124	130	5.8	3004	PG-13	Action Comedy	yes
Small Soldiers	1998	110	40	5.8	6938	PG-13	Action Comedy	yes
Spy Kids 2: Island of Lost Dreams	2002	99	39	5.8	3175	PG	Action Comedy	yes
Sugar Town	1999	92	0.25	5.8	307	R	Comedy	yes
Sweet Home Alabama	2002	108	38	5.8	9943	PG-13	RomCom	yes
Triggermen	2002	96	12	5.8	317	R	Comedy	yes
Tromeo and Juliet	1996	108	0.35	5.8	1030	R	Comedy Drama	yes
Two Can Play That Game	2001	93	6	5.8	843	R	RomCom	yes
Two Weeks Notice	2002	101	60	5.8	15010	PG-13	RomCom	yes
Van Wilder	2002	94	6	5.8	7799	R	Comedy	yes
Very Bad Things	1998	100	10	5.8	10001	R	Comedy	yes
Win a Date with Tad Hamilton!	2004	95	24	5.8	2933	PG-13	RomCom	yes
Armageddon	1998	153	140	5.7	45330	PG-13	Action	yes
Around the World in 80 Days	2004	120	110	5.7	3887	PG	Action Comedy	yes
Assassins	1995	132	50	5.7	7354	R	Action	yes
At First Sight	1999	128	40	5.7	3441	PG-13	Drama	yes
Barbershop 2: Back in Business	2004	106	18	5.7	1580	PG-13	Comedy	yes
Big Hit, The	1998	91	13	5.7	6206	R	Action Comedy	yes
Blade: Trinity	2004	124	65	5.7	7439	R	Action	yes
Blue Crush	2002	104	30	5.7	4791	PG-13	Romance Drama	yes
Bridget Jones: The Edge of Reason	2004	108	70	5.7	6636	R	RomCom	yes
Broken Arrow	1996	108	65	5.7	14415	R	Action	yes
Cafe Society	1995	104	3.5	5.7	137	R	Drama	yes
Can't Be Heaven	2000	94	2	5.7	104	PG	RomCom	yes
Chamber, The	1996	113	50	5.7	2540	R	Drama	yes
Chasing Liberty	2004	111	23	5.7	1911	PG-13	RomCom	yes
Daddy Day Care	2003	92	60	5.7	3803	PG	Comedy	yes
Daredevil	2003	133	75	5.7	20642	R	Action	yes
Dead Man's Curve	1998	90	1	5.7	1241	R	Comedy Drama	yes
Devil's Own, The	1997	111	80	5.7	8485	R	Action Drama	yes
Duplex	2003	89	40	5.7	4334	PG-13	Comedy	yes
Falls, The	2003	85	0.075	5.7	29	R	Drama	yes
Fast and the Furious, The	2001	106	38	5.7	21428	PG-13	Action	yes
Get Over It	2001	87	10	5.7	3561	PG-13	RomCom	yes
Global Heresy	2002	106	12	5.7	373	R	Drama	yes
Gods and Generals	2003	209	56	5.7	3002	PG-13	Action Drama	yes
Gone in Sixty Seconds	2000	117	90	5.7	25400	PG-13	Action	yes
Grey Owl	1999	118	30	5.7	629	PG-13	Drama	yes
HipHopBattle.com: Hip Hop 4 Life	2001	98	0.012	5.7	15	PG-13	RomCom	yes
Hollywood North	2003	89	7	5.7	114	R	Comedy	yes
How the Grinch Stole Christmas	2000	104	123	5.7	12680	PG	Comedy Drama	yes
Last Man Standing	1996	101	67	5.7	6751	R	Action Drama	yes
Laws of Attraction	2004	90	28	5.7	2349	PG-13	RomCom	yes
Light It Up	1999	99	13	5.7	856	R	Drama	yes
Lucky 13	2004	95	1.2	5.7	151	R	RomCom	yes
Mirror Has Two Faces, The	1996	122	42	5.7	2775	PG-13	RomCom	yes
Mission: Impossible II	2000	123	125	5.7	35958	PG-13	Action	yes
Mr 3000	2004	104	30	5.7	1459	PG-13	Comedy Drama	yes
Multiplicity	1996	117	45	5.7	5241	PG-13	Comedy	yes
Nadja	1994	93	1	5.7	781	R	Drama	yes
Never Again	2001	98	0.5	5.7	309	R	RomCom	yes
Newton Boys, The	1998	113	27	5.7	2003	PG-13	Action Drama	yes
One Night Stand	1997	102	24	5.7	1709	R	Drama	yes
Saint, The	1997	116	70	5.7	12591	PG-13	Action	yes
She's So Lovely	1997	100	18	5.7	2280	R	RomCom	yes
Singles Ward, The	2002	102	0.5	5.7	291	PG	RomCom	yes
Someone Like You...	2001	97	23	5.7	4249	PG-13	RomCom	yes
Suspect Zero	2004	99	27	5.7	1310	R	Drama	yes
Taxman, The	1999	104	1	5.7	169	R	Action Comedy	yes
Triumph of Love, The	2001	112	5	5.7	423	PG-13	RomCom	yes
Up Close & Personal	1996	124	60	5.7	3201	PG-13	Romance Drama	yes
What a Girl Wants	2003	105	20	5.7	3533	PG	RomCom	yes
Wisegirls	2002	96	11	5.7	792	R	Drama	yes
100 Mile Rule	2002	98	1.1	5.6	181	R	Comedy	yes
24 Hour Woman, The	1999	93	2.5	5.6	149	R	Comedy	yes
All the Pretty Horses	2000	116	45	5.6	3133	PG-13	Drama	yes
Angel Eyes	2001	102	38	5.6	4829	R	Romance Drama	yes
Bait	2000	119	35	5.6	1884	R	Action Comedy	yes
Banger Sisters, The	2002	98	10	5.6	3189	R	Comedy Drama	yes
Beloved	1998	172	53	5.6	1934	R	Drama	yes
Borrowers, The	1997	89	29	5.6	1457	PG	Comedy	yes
Brady Bunch Movie, The	1995	90	12	5.6	4636	PG-13	Comedy	yes
Bringing Down the House	2003	105	35	5.6	6501	PG-13	Comedy	yes
Casper	1995	100	55	5.6	8798	PG	Comedy	yes
Dante's Peak	1997	104	104	5.6	9203	PG-13	Action Drama	yes
Deuce Bigalow: Male Gigolo	1999	88	18	5.6	9897	R	Comedy	yes
Devil's Pond	2003	92	5	5.6	370	R	Drama	yes
Double Whammy	2001	100	4	5.6	886	R	Comedy Drama	yes
Eye for an Eye	1996	101	20	5.6	1843	R	Drama	yes
Faithful	1996	91	13	5.6	414	R	Comedy	yes
Father of the Bride Part II	1995	106	30	5.6	4089	PG	Comedy	yes
First Knight	1995	134	75	5.6	8708	PG-13	Romance Drama	yes
Garage Days	2002	106	6	5.6	597	R	Comedy Drama	yes
Gojira ni-sen mireniamu	1999	99	1	5.6	1150	PG	Action	yes
Grave, The	1996	90	4	5.6	303	R	Comedy	yes
Jefferson in Paris	1995	139	14	5.6	665	PG-13	Drama	yes
Johnny English	2003	87	35	5.6	8125	PG	Action Comedy	yes
Jurassic Park III	2001	92	93	5.6	20690	PG-13	Action	yes
Kiss the Sky	1999	107	6	5.6	263	R	Romance Drama	yes
Liberty Stands Still	2002	92	11	5.6	1560	R	Drama	yes
Little Vampire, The	2000	91	22	5.6	601	PG	Comedy	yes
Mayerling	1968	140	5	5.6	154	PG-13	Romance Drama	yes
Men in Black II	2002	88	140	5.6	21580	PG-13	Action Comedy	yes
Mercury Rising	1998	108	60	5.6	8202	R	Action Drama	yes
Monster-in-Law	2005	102	60	5.6	147	PG-13	RomCom	yes
Muse, The	1999	97	15	5.6	3513	PG-13	Comedy	yes
Net, The	1995	114	22	5.6	12201	PG-13	Action Drama	yes
No Looking Back	1998	96	5	5.6	622	R	RomCom	yes
Paparazzi	2004	84	20	5.6	2028	PG-13	Drama	yes
Picture Perfect	1997	105	19	5.6	3019	PG-13	RomCom	yes
Planet of the Apes	2001	119	100	5.6	28601	PG-13	Action	yes
Repli-Kate	2002	121	4	5.6	791	R	Comedy	yes
Resident Evil: Apocalypse	2004	94	50	5.6	10486	R	Action	yes
Stand-In, The	1999	100	0.4	5.6	42	PG	Drama	yes
Story of Us, The	1999	95	50	5.6	4953	R	RomCom	yes
Teacher's Pet	2004	74	10	5.6	218	PG	Animated	yes
Terror Tract	2000	96	11	5.6	281	R	Comedy	yes
Undisputed	2002	96	20	5.6	1769	R	Action Drama	yes
Vampires	1998	106	20	5.6	7908	R	Action	yes
Vertical Limit	2000	124	75	5.6	10273	PG-13	Action	yes
What Planet Are You From?	2000	104	50	5.6	2574	R	Comedy	yes
Wicked Spring	2002	102	0.5	5.6	158	PG-13	Drama	yes
Agent Cody Banks	2003	102	26	5.5	2655	PG	Action Comedy	yes
Alexander	2004	175	150	5.5	11254	R	Drama	yes
American Outlaws	2001	94	35	5.5	2878	PG-13	Action Comedy	yes
Be Cool	2005	118	53	5.5	4560	PG-13	Comedy	yes
Big Fat Liar	2002	88	15	5.5	2453	PG	Comedy	yes
Blind Horizon	2003	99	5.1	5.5	801	R	Drama	yes
Cable Guy, The	1996	96	47	5.5	16266	PG-13	Comedy Drama	yes
Changing Habits	1997	95	1.2	5.5	134	R	Comedy Drama	yes
Charly	2002	103	0.95	5.5	149	PG	RomCom	yes
Curdled	1996	88	2.309723	5.5	959	R	Comedy	yes
Deep Blue Sea	1999	105	78	5.5	17666	R	Action	yes
Dickie Roberts: Former Child Star	2003	98	17	5.5	2076	PG-13	Comedy	yes
Divine Secrets of the Ya-Ya Sisterhood	2002	116	27	5.5	4288	PG-13	Comedy Drama	yes
Eight Legged Freaks	2002	99	30	5.5	6362	PG-13	Action Comedy	yes
Escanaba in da Moonlight	2001	91	1	5.5	373	PG-13	Comedy	yes
Forever Lulu	2000	99	20	5.5	257	R	RomCom	yes
George of the Jungle	1997	92	55	5.5	6430	PG	Comedy	yes
Hard Rain	1998	97	70	5.5	6161	R	Action Drama	yes
House on Turk Street, The	2002	103	12	5.5	1048	R	Drama	yes
How to Deal	2003	102	16	5.5	1537	PG-13	RomCom	yes
Joe Somebody	2001	98	38	5.5	1937	PG	RomCom	yes
Just the Ticket	1999	115	12	5.5	610	R	RomCom	yes
Kama Sutra: A Tale of Love	1996	114	3	5.5	1491	R	Romance Drama	yes
Lost World: Jurassic Park, The	1997	129	73	5.5	28055	PG-13	Action	yes
Mary Reilly	1996	108	47	5.5	2806	R	Drama	yes
Million Dollar Hotel, The	2000	122	8	5.5	4746	R	Drama	yes
Molly	1999	102	21	5.5	610	PG-13	RomCom	yes
Money Talks	1997	97	25	5.5	2720	R	Action Comedy	yes
Mr. Deeds	2002	96	50	5.5	11729	PG-13	RomCom	yes
Original Sin	2001	116	26	5.5	4592	R	Romance Drama	yes
Reindeer Games	2000	124	36	5.5	7120	R	Action Drama	yes
Saturn	1999	94	0.35	5.5	43	R	Drama	yes
Scary Movie	2000	88	19	5.5	23293	R	Comedy	yes
Shakes the Clown	1992	87	1.4	5.5	838	R	Comedy	yes
She's All That	1999	95	10	5.5	13070	PG-13	RomCom	yes
Showtime	2002	96	85	5.5	7689	PG-13	Action Comedy	yes
Sweet November	2001	115	40	5.5	5458	PG-13	RomCom	yes
Time Machine, The	2002	96	80	5.5	12424	PG-13	Action	yes
Waterboy, The	1998	90	23	5.5	15539	PG-13	Comedy	yes
xXx	2002	132	85	5.5	18514	PG-13	Action	yes
200 Cigarettes	1999	101	6	5.4	4514	R	Comedy Drama	yes
3000 Miles to Graceland	2001	125	62	5.4	7298	R	Action Comedy	yes
40 Days and 40 Nights	2002	96	17	5.4	8609	R	RomCom	yes
54	1998	100	13	5.4	6905	R	Drama	yes
All About the Benjamins	2002	95	14	5.4	1250	R	Action Comedy	yes
AVP: Alien Vs. Predator	2004	102	45	5.4	14651	PG-13	Action	yes
Bad Company	2002	116	70	5.4	6175	PG-13	Action Comedy	yes
Batman Forever	1995	122	100	5.4	24025	PG-13	Action	yes
Bean	1997	90	22	5.4	9018	PG-13	Comedy	yes
Beyond Borders	2003	127	35	5.4	1905	R	Romance Drama	yes
Big Brass Ring, The	1999	104	7	5.4	271	R	Drama	yes
Cats & Dogs	2001	87	60	5.4	6487	PG	Comedy	yes
Commandments	1997	88	5	5.4	468	R	RomCom	yes
Core, The	2003	135	74	5.4	7860	PG-13	Action Drama	yes
Coyote Ugly	2000	100	45	5.4	13221	R	RomCom	yes
Daylight	1996	110	80	5.4	6979	PG-13	Action Drama	yes
Dead Man on Campus	1998	96	14	5.4	2829	R	Comedy	yes
Deep Rising	1998	97	45	5.4	4626	R	Action	yes
Doctor Dolittle	1998	85	71.5	5.4	8287	PG-13	Comedy	yes
Domestic Disturbance	2001	91	53	5.4	4445	PG-13	Drama	yes
Drowning Mona	2000	95	16	5.4	3454	PG-13	Comedy	yes
End of Violence, The	1997	122	5	5.4	1575	R	Drama	yes
Gun Shy	2000	101	10	5.4	1701	R	RomCom	yes
Home on the Range	2004	76	110	5.4	1510	PG	Animated	yes
Idle Hands	1999	92	20	5.4	5892	R	Comedy	yes
Jeepers Creepers	2001	90	10	5.4	10973	R	Drama	yes
Killing Me Softly	2002	104	25	5.4	1771	R	Drama	yes
League of Extraordinary Gentlemen, The	2003	110	78	5.4	15647	PG-13	Action	yes
Man Apart, A	2003	110	36	5.4	4231	R	Action Drama	yes
Message in a Bottle	1999	126	30	5.4	5582	PG-13	Romance Drama	yes
Mickey	2004	90	6	5.4	52	PG	Drama	yes
New Jersey Drive	1995	98	5	5.4	348	R	Drama	yes
Pearl Harbor	2001	184	135.25	5.4	33409	R	Action Drama	yes
Practical Magic	1998	103	60	5.4	7786	PG-13	Romance Drama	yes
Runaway Bride	1999	116	70	5.4	12624	PG	RomCom	yes
Saving Silverman	2001	96	22	5.4	6684	R	RomCom	yes
Skeletons in the Closet	2000	86	1.5	5.4	239	R	Drama	yes
Sol Goode	2001	99	3	5.4	291	R	Comedy	yes
Species	1995	108	35	5.4	8963	R	Action Drama	yes
Stateside	2004	97	16	5.4	247	R	Drama	yes
Trigger Effect, The	1996	94	8	5.4	1591	R	Action Drama	yes
Van Helsing	2004	132	160	5.4	19787	PG-13	Action	yes
Waterworld	1995	176	175	5.4	19325	PG-13	Action Drama	yes
Wind River	1998	97	5.5	5.4	97	PG-13	Drama	yes
Without a Paddle	2004	95	19	5.4	3605	PG-13	Comedy	yes
World Traveler	2001	103	2	5.4	350	R	Drama	yes
Beautiful	2000	112	9	5.3	991	PG-13	Comedy Drama	yes
Blood, Guts, Bullets and Octane	1998	87	0.0073	5.3	285	R	Action Comedy	yes
Cotton Mary	1999	124	3.5	5.3	164	R	Drama	yes
Cradle 2 the Grave	2003	101	25	5.3	4164	R	Action	yes
Crew, The	2000	84	23	5.3	1297	PG-13	Comedy	yes
Crocodile Hunter: Collision Course, The	2002	90	13	5.3	1648	PG	Comedy	yes
Deuces Wild	2002	100	10	5.3	1511	R	Action Drama	yes
Double Tap	1997	87	8	5.3	184	R	Action	yes
Drumline	2002	118	20	5.3	7368	PG-13	RomCom	yes
End of Days	1999	121	83	5.3	18237	R	Action	yes
Exit Wounds	2001	101	33	5.3	5370	R	Action	yes
Guy Thing, A	2003	101	20	5.3	2885	PG-13	RomCom	yes
Hav Plenty	1997	84	0.65	5.3	256	R	Comedy	yes
Hollywood Sign, The	2001	90	12	5.3	196	R	Comedy	yes
Hope Floats	1998	114	30	5.3	4382	PG-13	RomCom	yes
I Spy	2002	97	70	5.3	5521	PG-13	Action Comedy	yes
Juror, The	1996	118	44	5.3	2920	R	Drama	yes
Kimberly	1999	106	2	5.3	231	R	RomCom	yes
Last Time I Committed Suicide, The	1997	92	4	5.3	530	R	Drama	yes
Loss of Sexual Innocence, The	1999	106	4	5.3	977	R	Drama	yes
Love Stinks	1999	94	4	5.3	1311	R	Comedy	yes
Lover Girl	1997	87	1	5.3	102	R	Comedy Drama	yes
Max Keeble's Big Move	2001	86	12	5.3	587	PG	Comedy	yes
Original Gangstas	1996	99	4.8	5.3	216	R	Drama	yes
Pavilion of Women	2001	111	5	5.3	209	R	Drama	yes
Possums	1998	97	1.4	5.3	66	PG	Comedy Drama	yes
R.M., The	2003	101	0.5	5.3	213	PG	Comedy	yes
Red Planet	2000	106	75	5.3	8623	PG-13	Action	yes
Scary Movie 3	2003	84	45	5.3	9225	PG-13	Comedy	yes
Scorpion King, The	2002	92	60	5.3	10111	PG-13	Action	yes
Serpent's Kiss, The	1997	104	13	5.3	368	R	Drama	yes
Singing Detective, The	2003	109	10	5.3	1184	R	Comedy Drama	yes
Skulls, The	2000	106	15	5.3	6530	PG-13	Drama	yes
Speedway Junky	1999	105	1	5.3	469	R	Drama	yes
Stepford Wives, The	2004	93	90	5.3	7773	PG-13	Comedy Drama	yes
Sugar & Spice	2001	84	11	5.3	2901	PG-13	Comedy	yes
Urban Ghost Story	1998	82	0.3	5.3	167	R	Drama	yes
Very Brady Sequel, A	1996	90	15	5.3	2183	PG-13	Comedy	yes
Virtuosity	1995	106	30	5.3	4183	R	Action	yes
Welcome to Mooseport	2004	117	26	5.3	2356	PG-13	Comedy	yes
Woman on Top	2000	92	8	5.3	2094	R	RomCom	yes
Black and White	1999	98	10	5.2	1699	R	Drama	yes
Bride of Chucky	1998	89	25	5.2	4449	R	Comedy	yes
Bride of the Wind	2001	99	12	5.2	201	R	Drama	yes
Bulletproof Monk	2003	104	52	5.2	5405	PG-13	Action Comedy	yes
Climb, The	2002	98	2.5	5.2	83	PG	Action Drama	yes
Club Dread	2004	119	9	5.2	3432	R	Comedy	yes
Collateral Damage	2002	108	85	5.2	8590	R	Action	yes
Committed	2000	98	3	5.2	739	R	Comedy Drama	yes
Elvira's Haunted Hills	2001	90	1.5	5.2	307	PG-13	Comedy	yes
Final	2001	111	0.08	5.2	330	R	Drama	yes
Hardware	1990	93	1.5	5.2	1323	R	Action	yes
Hide and Seek	2005	101	30	5.2	3784	R	Drama	yes
Hollywood Homicide	2003	116	75	5.2	5312	PG-13	Action Comedy	yes
I Dreamed of Africa	2000	114	34	5.2	1113	PG-13	Drama	yes
Jack	1996	113	45	5.2	5256	PG-13	Comedy Drama	yes
Jackpot	2001	97	0.4	5.2	213	R	Comedy Drama	yes
Josie and the Pussycats	2001	98	22	5.2	4508	PG-13	Comedy	yes
Lake Placid	1999	82	27	5.2	7836	R	Action Comedy	yes
Lara Croft Tomb Raider: The Cradle of Life	2003	117	90	5.2	9103	PG-13	Action	yes
Lara Croft: Tomb Raider	2001	100	80	5.2	21861	PG-13	Action	yes
Learning Curve, The	2001	113	1	5.2	177	R	Drama	yes
Love Letter, The	1999	88	15	5.2	1258	PG-13	Comedy Drama	yes
Man of the House	2005	97	40	5.2	511	PG-13	Action Comedy	yes
Metro	1997	117	55	5.2	3560	R	Action Comedy	yes
Mystic Masseur, The	2001	117	2.5	5.2	157	PG	Drama	yes
New Guy, The	2002	89	13	5.2	4266	PG-13	Comedy	yes
Next Friday	2000	98	9.5	5.2	3457	R	Comedy	yes
Not Another Teen Movie	2001	89	16	5.2	10295	R	Comedy	yes
Out Cold	2001	92	11	5.2	1990	PG-13	Comedy	yes
Soldier	1998	98	75	5.2	5590	R	Action	yes
Space Jam	1996	87	80	5.2	7995	PG	Animated	yes
Ted Bundy	2002	99	1.2	5.2	852	R	Drama	yes
Volcano	1997	104	90	5.2	8627	PG-13	Action Drama	yes
Wedding Party, The	1969	92	0.043	5.2	94	R	Comedy	yes
Whatever It Takes	2000	94	15	5.2	1771	PG-13	RomCom	yes
2 Fast 2 Furious	2003	107	76	5.1	9556	PG-13	Action	yes
Break Up	1998	100	9	5.1	393	R	Drama	yes
Bubble Boy	2001	84	13	5.1	2904	PG-13	RomCom	yes
Chain Reaction	1996	106	55	5.1	5936	PG-13	Action Drama	yes
Country of My Skull	2004	104	12	5.1	194	R	Drama	yes
Cutaway	2000	104	9	5.1	390	R	Action	yes
Cutthroat Island	1995	119	92	5.1	3942	PG-13	Action	yes
Delivered	1998	93	1	5.1	73	R	Comedy Drama	yes
Dill Scallion	1999	91	0.5	5.1	136	PG-13	Comedy	yes
Down to Earth	2001	87	30	5.1	3720	PG-13	RomCom	yes
Dr. Dolittle 2	2001	87	72	5.1	4920	PG	Comedy	yes
Drive Me Crazy	1999	91	8	5.1	2934	PG-13	RomCom	yes
Heavy Metal 2000	2000	88	15	5.1	1148	R	Animated	yes
Joe Dirt	2001	91	16	5.1	5514	PG-13	RomCom	yes
Kung Pow: Enter the Fist	2002	82	10	5.1	5871	PG-13	Action Comedy	yes
Loser	2000	92	20	5.1	5152	PG-13	RomCom	yes
Money Train	1995	103	68	5.1	5081	R	Action Comedy	yes
One Eyed King	2001	105	6.5	5.1	81	R	Drama	yes
Play It to the Bone	1999	124	24	5.1	2645	R	Comedy Drama	yes
Riders	2002	83	15	5.1	922	R	Action	yes
Seed of Chucky	2004	87	12	5.1	1342	R	Comedy	yes
Sgt. Bilko	1996	93	39	5.1	3712	PG	Comedy	yes
Snow Dogs	2002	99	35	5.1	2379	PG	Comedy	yes
Sorority Boys	2002	93	12	5.1	2398	R	Comedy	yes
